"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Vibrio brasiliensis",NA,"alkaline phosphatase, catalase, oxidase","freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,NA
"Aciduliprofundum boonei",NA,NA,"hydrothermalvents, freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Desulfurobacterium thermolithotrophum",NA,"alkaline phosphatase, esterase lipase  c8","hydrothermalvents, marine, freeliving, single",NA,NA,"pairs, singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Lachnospiraceae bacterium 9_1_43BFAA",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Hirschia baltica",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Candidatus Odyssella thessalonicensis",NA,"alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Metallosphaera sedula",NA,NA,"freeliving, single",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Bacteroides sp. 3_1_23",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Lachnospiraceae bacterium 2_1_58FAA",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Bacillus mojavensis","glutamate, glycerol, melibiose, acetylglucosamine, dextrin, ketoglutaric acid, alanine, gentiobiose, salicin, aspartate, aspartic acid, 6 phosphate, glucose, arginine","casein","freeliving",NA,NA,NA,"chemoorganotroph","flagellarpresence","positive",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli","sporulation","mesophilic"
"Bacteroides sp. 3_1_33FAA",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,NA
"Lachnospiraceae bacterium 6_1_63FAA","glucose",NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Ralstonia sp. 5_2_56FAA","glutamate, quinic acid, ketoglutaric acid, alanine, saccharate, propionate, aspartate, histidine, pyroglutamic acid, mucic acid","alkaline phosphatase","host",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Flavobacterium suncheonense","dextrin, salicin","valine arylamidase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Lachnospiraceae bacterium 3_1_57FAA_CT1",NA,NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Bacteroides sp. 1_1_30",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,NA
"Lachnospiraceae bacterium 7_1_58FAA",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Symbiobacterium thermophilum",NA,NA,"freeliving",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Jonquetella anthropi",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Celeribacter baekdonensis",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Lachnospiraceae bacterium 5_1_57FAA",NA,NA,"hostassociated, digestivesystem, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Verrucomicrobium spinosum",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Desulfovibrio sp. 3_1_syn3",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"sulfatereducer",NA,NA,"strictanaero",NA,NA,NA,NA
"Alteromonas sp. SN2",NA,"alkaline phosphatase, esterase lipase  c8, catalase","freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,"pahdegrading",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Coleofasciculus chthonoplastes",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"coccus",NA,NA
"Clostridium sp. 7_2_43FAA",NA,NA,"host",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,"sporulation",NA
"Bacteroides sp. 4_3_47FAA",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bacteroides sp. 9_1_42FAA",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Bacteroides sp. 3_2_5",NA,NA,"hostassociated, human, largeintestine, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Marinobacter hydrocarbonoclasticus",NA,"alkaline phosphatase, esterase lipase  c8, catalase, oxidase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Synechococcus sp. PCC 6312",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteroides sp. 4_1_36","melibiose",NA,"hostassociated, human, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Streptomyces violaceusniger","arabinose",NA,"soil, freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"strictaero",NA,"tailed","sporulation","mesophilic"
"Halomonas elongata","ketoglutaric acid","esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Cyanothece sp. PCC 8802",NA,"alkaline phosphatase","environmental, aquatic, freeliving, single",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Eubacterium sp. 3_1_31",NA,NA,"hostassociated, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Anoxybacillus sp. DT3-1","ketoglutaric acid, glucose","esterase lipase  c8","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli","sporulation","thermophilic"
"Arthrobacter arilaitensis",NA,"glucosidase, galactosidase","freeliving",NA,NA,"tetrads","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Carnobacterium maltaromaticum","arbutin, dextrin, salicin","esterase  c4",NA,NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,"facultative",NA,NA,NA,"mesophilic"
"Cyanothece sp. PCC 7425",NA,NA,"aquatic, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"coccus",NA,NA
"Escherichia sp. 4_1_40B","mannitol, trehalose, aspartate","alkaline phosphatase, esterase lipase  c8","hostassociated, human, digestivesystem, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,"mammalsman, enteric, pathogenic in mammals",NA,NA,"motility","facultative",NA,"bacilli",NA,"mesophilic"
"Synergistes sp. 3_1_syn1",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Synergistes jonesii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Ruminococcus sp. 5_1_39BFAA",NA,NA,"hostassociated, digestivesystem, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Pseudomonas extremaustralis","glutamate, ketoglutaric acid, alanine, aspartate","alkaline phosphatase, oxidase",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Ruminococcus champanellensis",NA,NA,"hostassociated, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Erysipelotrichaceae bacterium 2_2_44A","glucose",NA,"hostassociated, largeintestine, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Psychrobacter arcticus",NA,"alkaline phosphatase","freeliving",NA,NA,"pairs",NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,"radioresistance","bacilli",NA,NA
"Rhodococcus qingshengii","quinic acid",NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Tepidiphilus margaritifer",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veillonella sp. 3_1_44",NA,NA,"hostassociated, oral, digestivesystem, host",NA,NA,"pairs",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Pectobacterium sp. SCC3193","glycerol, mannitol, acetylglucosamine, trehalose, saccharate, gentiobiose, arabinose, rhamnose, aspartate, 6 phosphate, glucose, mannose, galactose","alkaline phosphatase, esterase lipase  c8","hostassociated, plants, host",NA,NA,"pairs, singles",NA,NA,"negative",NA,NA,"pathogenic in plants",NA,"mobility",NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Leisingera caerulea",NA,"alkaline phosphatase, catalase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Spiroplasma kunkelii",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methylobacterium populi","glutamate","oxidase","hostassociated, plants, host",NA,NA,"pairs, singles","methylotroph",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Azoarcus sp. KH32C","ketoglutaric acid",NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Mesorhizobium ciceri","arabinose, lactose, turanose, d xylopyranoside","alkaline phosphatase, glucosidase","hostassociated, plants, rhizoplane, host, rhizosphere, rootnodule, hostassociated",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"plantslegumes","nitrogenfixation","mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. WC-136","glutamate, adipate, aspartate, ethanol, histidine, arginine","alkaline phosphatase, catalase","hostassociated, host",NA,NA,"singles","heterotroph, chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Geobacter sulfurreducens",NA,"alkaline phosphatase","environmental, sediment, sediment, freeliving",NA,NA,"singles","chemolithotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Gemella cuniculi",NA,NA,"hostassociated, host",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gilvimarinus chinensis",NA,"esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Campylobacter hominis",NA,NA,"hostassociated, host, hostassociated",NA,NA,"chains, singles",NA,NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Micromonospora aurantiaca","arabinose",NA,"hostassociated, freeliving",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,NA,"nitrogenfixation",NA,NA,"strictaero",NA,NA,"sporulation","mesophilic"
"Bacteroides faecis",NA,"alkaline phosphatase","hostassociated, human, digestivesystem, host, fecal, hostassociated, single",NA,NA,"singles","chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Rhodobacterales bacterium HTCC2255",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Micromonospora equina",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Methylotenera versatilis",NA,"alkaline phosphatase, esterase lipase  c8","lentic, freeliving",NA,NA,"singles","methylotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Bradyrhizobium sp. Tv2a-2","xylose, arabinose, d xylopyranoside",NA,"rhizoplane, rootnodule",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"bacilli",NA,NA
"Legionella nagasakiensis",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudogulbenkiania sp. NH8B","lactate, ketoglutaric acid",NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Methanosalsum zhilinae",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,"halophilic",NA,"methanogen",NA,NA,"strictanaero",NA,NA,NA,NA
"Rhodococcus equi",NA,NA,"hostassociated, host, hostassociated",NA,NA,"filaments","chemoorganotroph",NA,"positive","growth in groups",NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,NA,NA,"mesophilic"
"Corynebacterium matruchotii",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Corynebacterium urealyticum",NA,NA,"hostassociated, host, hostassociated",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, urogenital, urogenital urinary, pathogenic in mammals",NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Kaistia granuli",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Cycloclasticus zancles",NA,"alkaline phosphatase, esterase lipase  c8","sediment, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,NA
"Oceanithermus profundus",NA,NA,"hydrothermalvents, freeliving, single",NA,NA,"pairs",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Prevotella stercorea","lactose, raffinose",NA,"hostassociated, human, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Acinetobacter sp. WC-743","glutamate, adipate, aspartate, ethanol","catalase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Dinoroseobacter shibae",NA,"alkaline phosphatase","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Pseudomonas fulva","galacturonate, malic acid, glutamate, malate, ketoglutaric acid, alanine, saccharate, gluconate, acetate, propionate, aspartate, mucic acid","alkaline phosphatase, esterase lipase  c8, lipase  c14","hostassociated, plants, host",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility","motility","strictaero",NA,"bacilli",NA,"mesophilic"
"Ktedonobacter racemifer",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maritimibacter alkaliphilus",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Pseudomonas synxantha","glutamate, ketoglutaric acid, alanine, aspartate, mucic acid","alkaline phosphatase, lipase  c14, oxidase",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Caldithrix abyssi",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ketogulonicigenium vulgare",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Chryseobacterium daeguense","dextrin, salicin","valine arylamidase",NA,NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Idiomarina xiamenensis",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Beutenbergia cavernae","arabinose, salicin",NA,"freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Cedecea davisae","mannitol, trehalose, aspartate, glucose","alkaline phosphatase, esterase lipase  c8","hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Eggerthella sp. YY7918",NA,NA,"hostassociated, digestivesystem, host, fecal",NA,NA,"chains, singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Novosphingobium sp. Rr 2-17",NA,"alkaline phosphatase",NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Streptococcus troglodytidis","lactose",NA,"hostassociated, host, hostassociated",NA,NA,"chains",NA,NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,NA,NA,"coccus",NA,NA
"Calditerrivibrio nitroreducens",NA,NA,"freeliving",NA,NA,"pairs, singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"thermophilic"
"Mycobacterium indicus pranii",NA,NA,"hostassociated, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"pathogenic in mammals",NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Enterobacter sp. R4-368","glutamate, glycerol, mannitol, sorbitol, trehalose, gluconate, aspartate, glucose","alkaline phosphatase, esterase lipase  c8, galactosidase","hostassociated, host, fecal, hostassociated",NA,NA,"pairs, singles","chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Olsenella uli",NA,NA,"hostassociated, oral, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Thioflavicoccus mobilis",NA,NA,NA,NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sphingobacterium canadense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thermotoga sp. EMP",NA,NA,"freeliving, single",NA,NA,NA,"heterotroph",NA,"negative",NA,NA,NA,NA,NA,"motility","strictanaero",NA,"bacilli",NA,"hyperthermophilic, thermophilic"
"Serratia fonticola",NA,"alkaline phosphatase, esterase lipase  c8","hostassociated, host, hostassociated",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,"mobility",NA,"facultative",NA,"bacilli",NA,"mesophilic"
"Roseobacter sp. AzwK-3b",NA,"alkaline phosphatase",NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Pseudomonas sp. UW4","glutamate, ketoglutaric acid, alanine, gluconate, aspartate","alkaline phosphatase, lipase  c14",NA,NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Megasphaera genomosp. type_1",NA,NA,"hostassociated, host",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Cellulophaga baltica","dextrin, salicin",NA,NA,NA,NA,NA,"chemoheterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Meiothermus silvanus",NA,"casein","freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermophilic"
"Shewanella violacea","hydrogen sulfide","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, oxidase","marine, marine, sediment, freeliving",NA,NA,"pairs, singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,NA,"motility","facultative",NA,"bacilli",NA,NA
"Methanobacterium aarhusense",NA,NA,"freeliving",NA,NA,NA,NA,NA,"negative",NA,NA,NA,"methanogen",NA,NA,NA,NA,NA,NA,NA
"Bacteriovorax marinus",NA,"alkaline phosphatase","freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Belliella baltica",NA,"valine arylamidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Lachnospiraceae bacterium M18-1",NA,NA,"hostassociated, largeintestine, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Dorea sp. 5-2",NA,NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Lachnospiraceae bacterium 3-2",NA,NA,"hostassociated, host, fecal",NA,NA,"pairs","chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Vibrio sp. Ex25","mannitol","alkaline phosphatase, esterase lipase  c8, esterase  c4, catalase, oxidase","hostassociated, marine, marine, aquatic, freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,"pathogenic in mammals",NA,NA,"motility","facultative",NA,"bacilli",NA,"mesophilic"
"Firmicutes bacterium M10-2",NA,NA,"hostassociated, host, fecal",NA,NA,NA,"chemoorganotroph",NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Oscillibacter sp. 1-3",NA,NA,"hostassociated, host, fecal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Methanomethylovorans hollandica",NA,NA,"freeliving",NA,NA,NA,NA,NA,NA,NA,"halophilic",NA,"methanogen",NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Alkalilimnicola ehrlichii","ketoglutaric acid","alkaline phosphatase, esterase lipase  c8","freeliving",NA,NA,"singles",NA,NA,"negative",NA,"halophilic",NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Parabacteroides sp. ASF519","trehalose","glucosidase","hostassociated, human, digestivesystem, host, fecal, single",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,"bacilli",NA,"mesophilic"
"Lachnospiraceae bacterium 10-1",NA,NA,"hostassociated, digestivesystem, host, fecal",NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,NA
"Lactobacillus hominis","arbutin, dextrin, gentiobiose, salicin, amygdalin","valine arylamidase, galactosidase","host, hostassociated",NA,NA,"chains","chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Lentisphaera araneosa",NA,NA,NA,NA,NA,NA,NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mycobacterium sp. JDM601",NA,NA,"hostassociated, host",NA,NA,"singles","chemoorganotroph",NA,"positive",NA,NA,"mammalsman, pathogenic in mammals","pahdegrading",NA,NA,"strictaero",NA,"bacilli",NA,"mesophilic"
"Vibrio cyclitrophicus",NA,"alkaline phosphatase, esterase lipase  c8, catalase, oxidase, trypsin","marine, freeliving",NA,NA,"singles","heterotroph",NA,"negative",NA,NA,NA,NA,NA,NA,"facultative",NA,"bacilli",NA,NA
"Arthrobacter sp. TB 23",NA,NA,NA,NA,NA,NA,"chemoorganotroph",NA,"positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Thiomicrospira crunogena",NA,"esterase lipase  c8","hydrothermalvents, sediment, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"sulfuroxidizer",NA,NA,NA,NA,NA,NA,"mesophilic"
"Sulfurimonas denitrificans","fructose","alkaline phosphatase, esterase  c4","marine, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"sulfuroxidizer",NA,NA,NA,NA,"spirilla",NA,"mesophilic"
"Blattabacterium sp. (Mastotermes darwiniensis)",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,NA
"Serratia symbiotica",NA,NA,"hostassociated, host",NA,NA,"singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
